Unnamed: 0,noise_level,distance,method,run
183,8,1.456247615909706,pmlat,3
184,8,1.1271019457493572,pmlat,4
185,8,1.080317789147592,pmlat,5
186,8,1.3679318888539624,pmlat,6
187,8,1.2997047888685904,pmlat,7
188,8,1.5107946261265155,pmlat,8
189,8,1.2459404119913589,pmlat,9
190,8,1.2481672830685804,pmlat,10
191,8,1.2807982619041716,pmlat,11
192,8,1.178545997449554,pmlat,12
193,8,1.2581231455593809,pmlat,13
194,8,1.3869988039409853,pmlat,14
195,8,1.1985027233727872,pmlat,15
196,8,1.2377230541844229,pmlat,16
197,8,1.2805796257746285,pmlat,17
198,8,1.2368323370923953,pmlat,18
199,8,1.2761543089522818,pmlat,19
200,8,1.2201811942768268,pmlat,20
201,8,1.1889349204993092,pmlat,21
202,8,1.374573223081526,pmlat,22
203,8,1.1645031649412283,pmlat,23
204,8,1.261138745575913,pmlat,24
205,8,1.1674234434912052,pmlat,25
206,8,1.21322399162377,pmlat,26
207,8,0.98737919326403,pmlat,27
208,8,1.2028029827469455,pmlat,28
209,8,1.2778256271819866,pmlat,29
210,9,1.4305869148115573,pmlat,0
211,9,1.2491953574404695,pmlat,1
212,9,1.0169312111927935,pmlat,2
213,9,1.0581019543081067,pmlat,3
214,9,1.0902253938790325,pmlat,4
215,9,1.2498013530554368,pmlat,5
216,9,0.9341630782213676,pmlat,6
217,9,0.9977811661501232,pmlat,7
218,9,1.3091933982369588,pmlat,8
219,9,1.5881071138444742,pmlat,9
220,9,1.3944930939895506,pmlat,10
221,9,1.1637657603615987,pmlat,11
222,9,1.1425057054286956,pmlat,12
223,9,1.1402972921805001,pmlat,13
224,9,1.3666797152969226,pmlat,14
225,9,1.28656742037055,pmlat,15
226,9,1.3796547545235542,pmlat,16
227,9,1.3031243352848796,pmlat,17
228,9,1.1940070810138284,pmlat,18
229,9,1.4873922115468192,pmlat,19
230,9,1.3115188814060466,pmlat,20
231,9,1.0780188066648944,pmlat,21
232,9,1.1882873402809278,pmlat,22
233,9,1.1212824356879716,pmlat,23
234,9,1.2365186103813497,pmlat,24
235,9,1.1322822061323827,pmlat,25
236,9,1.0286284697801864,pmlat,26
237,9,1.1169462470125595,pmlat,27
238,9,1.2514468517057349,pmlat,28
239,9,1.0572211949993553,pmlat,29
240,10,0.9932673491096,pmlat,0
241,10,1.2489503167705325,pmlat,1
242,10,1.024880373037656,pmlat,2
243,10,1.1167165725649932,pmlat,3
244,10,1.2441531175829204,pmlat,4
245,10,1.150708408664846,pmlat,5
246,10,1.1852878795888897,pmlat,6
247,10,0.8308021699875618,pmlat,7
